region	layer	chamber	VFAT	reason_mask
P	1	5	0	1
P	1	5	1	1
P	1	5	2	1
P	1	5	3	1
P	1	5	4	1
P	1	5	5	1
P	1	5	6	1
P	1	5	8	1
P	1	5	16	1
P	1	12	0	1
P	1	12	1	1
P	1	12	4	1
P	1	12	5	1
P	1	12	8	1
P	1	12	9	1
P	1	12	10	1
P	1	12	11	1
P	1	12	12	1
P	1	12	15	1
P	1	12	16	1
P	1	12	17	1
P	1	12	19	1
P	1	12	20	1
P	1	12	21	1
P	1	12	22	1
P	1	12	23	1
P	1	14	0	1
P	1	14	1	1
P	1	14	2	1
P	1	14	3	1
P	1	14	4	1
P	1	14	5	1
P	1	14	6	1
P	1	14	8	1
P	1	14	9	1
P	1	14	10	1
P	1	14	11	1
P	1	14	16	1
P	1	14	17	1
P	1	14	18	1
P	1	14	19	1
P	1	14	20	1
P	1	14	21	1
P	1	14	22	1
P	1	17	8	1
P	1	26	5	1
P	1	26	7	1
P	1	26	14	1
P	1	26	15	1
P	1	28	4	1
P	1	28	23	1
P	1	30	0	1
P	1	30	1	1
P	1	30	2	1
P	1	30	3	1
P	1	30	4	1
P	1	30	5	1
P	1	30	6	1
P	1	30	7	1
P	1	30	8	1
P	1	30	9	1
P	1	30	10	1
P	1	30	11	1
P	1	30	12	1
P	1	30	13	1
P	1	30	14	1
P	1	30	15	1
P	1	30	16	1
P	1	30	17	1
P	1	30	18	1
P	1	30	19	1
P	1	30	20	1
P	1	30	21	1
P	1	30	22	1
P	1	30	23	1
P	1	31	9	1
P	1	31	10	1
P	1	31	11	1
P	1	31	17	1
P	1	31	18	1
P	1	31	19	1
P	1	31	20	1
P	1	31	21	1
P	1	31	22	1
P	1	32	0	1
P	1	32	1	1
P	1	32	2	1
P	1	32	3	1
P	1	32	4	1
P	1	32	5	1
P	1	32	6	1
P	1	32	7	1
P	1	32	8	1
P	1	32	9	1
P	1	32	10	1
P	1	32	11	1
P	1	32	12	1
P	1	32	13	1
P	1	32	14	1
P	1	32	15	1
P	1	32	16	1
P	1	32	17	1
P	1	32	18	1
P	1	32	19	1
P	1	32	20	1
P	1	32	21	1
P	1	32	22	1
P	1	32	23	1
P	1	33	9	1
P	1	33	10	1
P	1	33	11	1
P	1	33	17	1
P	1	33	18	1
P	1	33	19	1
P	1	33	20	1
P	1	33	21	1
P	1	33	22	1
P	2	3	8	1
P	2	3	22	1
P	2	9	23	1
P	2	15	21	1
P	2	16	0	1
P	2	16	1	1
P	2	16	2	1
P	2	16	3	1
P	2	16	4	1
P	2	16	5	1
P	2	16	6	1
P	2	16	8	1
P	2	16	16	1
P	2	18	0	1
P	2	18	1	1
P	2	18	2	1
P	2	18	3	1
P	2	18	4	1
P	2	18	5	1
P	2	18	6	1
P	2	18	7	1
P	2	18	8	1
P	2	18	9	1
P	2	18	10	1
P	2	18	11	1
P	2	18	12	1
P	2	18	13	1
P	2	18	14	1
P	2	18	15	1
P	2	18	16	1
P	2	18	17	1
P	2	18	18	1
P	2	18	19	1
P	2	18	20	1
P	2	18	21	1
P	2	18	22	1
P	2	18	23	1
P	2	20	0	1
P	2	20	1	1
P	2	20	2	1
P	2	20	3	1
P	2	20	4	1
P	2	20	5	1
P	2	20	6	1
P	2	20	8	1
P	2	20	16	1
P	2	21	17	1
P	2	21	18	1
P	2	25	0	1
P	2	25	1	1
P	2	25	2	1
