region	layer	chamber	VFAT	reason_mask
N	1	20	23	2
N	1	27	14	2
N	1	30	1	2
N	1	36	7	1
N	2	3	4	2
N	2	8	5	2
P	1	7	13	1
P	1	7	14	1
P	1	7	15	1
P	1	14	9	1
P	1	14	10	1
P	1	14	11	1
P	1	14	13	1
P	1	14	14	1
P	1	14	15	1
P	1	14	17	1
P	1	14	18	1
P	1	14	19	1
P	1	14	20	1
P	1	14	21	1
P	1	14	22	1
P	1	7	7	2
P	1	7	15	2
P	1	7	14	2
P	1	7	13	2
P	1	7	12	2
P	1	7	23	2
P	1	26	0	1
P	1	26	1	1
P	1	26	2	1
P	1	26	3	1
P	1	26	4	1
P	1	26	5	1
P	1	26	6	1
P	1	26	7	1
P	1	26	8	1
P	1	26	16	1
P	1	28	4	2
P	2	7	4	2
P	2	21	17	2
P	2	26	22	2

