region	layer	chamber	VFAT	reason_mask
P	1	10	9	1
P	1	10	10	1
P	1	10	11	1
P	1	10	17	1
P	1	10	18	1
P	1	10	19	1
P	1	10	20	1
P	1	10	21	1
P	1	10	22	1
P	1	14	3	1
P	1	14	5	1
P	1	14	6	1
P	1	14	8	1
P	1	14	9	1
P	1	14	10	1
P	1	14	11	1
P	1	14	17	1
P	1	14	18	1
P	1	14	19	1
P	1	14	20	1
P	1	14	21	1
P	1	14	22	1
P	1	17	8	1
P	1	17	12	1
P	1	17	14	1
P	1	17	15	1
P	1	17	23	1
P	1	26	5	1
P	1	26	7	1
P	1	26	14	1
P	1	26	15	1
P	1	28	4	1
P	1	28	23	1
P	1	32	0	1
P	1	32	1	1
P	1	32	2	1
P	1	32	3	1
P	1	32	4	1
P	1	32	5	1
P	1	32	6	1
P	1	32	7	1
P	1	32	8	1
P	1	32	9	1
P	1	32	10	1
P	1	32	11	1
P	1	32	12	1
P	1	32	13	1
P	1	32	14	1
P	1	32	15	1
P	1	32	16	1
P	1	32	17	1
P	1	32	18	1
P	1	32	19	1
P	1	32	20	1
P	1	32	21	1
P	1	32	22	1
P	1	32	23	1
P	2	3	9	1
P	2	3	10	1
P	2	3	11	1
P	2	3	17	1
P	2	3	18	1
P	2	3	19	1
P	2	3	20	1
P	2	3	21	1
P	2	3	22	1
P	2	9	23	1
P	2	15	21	1
P	2	16	0	1
P	2	16	1	1
P	2	16	2	1
P	2	16	3	1
P	2	16	4	1
P	2	16	5	1
P	2	16	6	1
P	2	16	8	1
P	2	16	16	1
P	2	18	0	1
P	2	18	1	1
P	2	18	2	1
P	2	18	3	1
P	2	18	4	1
P	2	18	5	1
P	2	18	6	1
P	2	18	7	1
P	2	18	8	1
P	2	18	9	1
P	2	18	10	1
P	2	18	11	1
P	2	18	12	1
P	2	18	13	1
P	2	18	14	1
P	2	18	15	1
P	2	18	16	1
P	2	18	17	1
P	2	18	18	1
P	2	18	19	1
P	2	18	20	1
P	2	18	21	1
P	2	18	22	1
P	2	18	23	1
P	2	20	0	1
P	2	20	1	1
P	2	20	2	1
P	2	20	3	1
P	2	20	4	1
P	2	20	5	1
P	2	20	6	1
P	2	20	8	1
P	2	20	16	1
P	2	21	17	1
P	2	21	18	1
P	2	28	2	1
P	2	28	21	1
P	2	31	9	1
P	2	31	10	1
P	2	31	11	1
P	2	31	17	1
P	2	31	18	1
P	2	31	19	1
P	2	31	20	1
P	2	31	21	1
P	2	31	22	1
P	2	33	0	1
P	2	33	1	1
P	2	33	2	1
P	2	33	3	1
P	2	33	4	1
P	2	33	5	1
P	2	33	6	1
P	2	33	7	1
P	2	33	8	1
P	2	33	9	1
P	2	33	10	1
P	2	33	11	1
P	2	33	12	1
P	2	33	13	1
P	2	33	14	1
P	2	33	15	1
P	2	33	16	1
P	2	33	17	1
P	2	33	18	1
P	2	33	19	1
P	2	33	20	1
P	2	33	21	1
P	2	33	22	1
P	2	33	23	1
P	2	36	22	1
M	1	10	8	1
M	1	12	2	1
